,Director,Director Counts
1918,Daniel Algrant,2
1919,R.D. Robb,1
1920,"David Hillenbrand, Scott Hillenbrand",3
1921,Mars Callahan,1
1922,Nicolas Cage,1
1923,Thomas Vinterberg,1
1924,Guy Jenkin,1
1925,"Steve Loter, Victor Cook, Don MacKinnon, Lisa Schaffer(co-director)",1
1926,Michael Cohn,1
1927,Rory Kelly,1
1928,Christopher Guest,7
1929,Mark Herman,4
1930,Julien Temple,4
1931,Rick King,2
1932,"Woody Allen, Francis Ford Coppola, Martin Scorsese",1
1933,George Bowers,2
1934,Eric Karson,2
1935,Robert Bierman,2
1936,"Jerry Kramer, Colin Chilvers",1
1937,Randa Haines,5
1938,John Mackenzie,4
1939,Samuel Fuller,2
1940,Douglas Trumbull,1
1941,Alan Myerson,1
1942,Don Edmonds,2
1943,Liv Ullmann,1
1944,Jon Stewart,1
1945,Bryan Forbes,3
1946,Elia Kazan,1
1947,Luis Buñuel,2
1948,Andrew V. McLaglen,7
1949,Werner Herzog,14
1950,Colin Higgins,3
1951,Tommy Lee Wallace,3
1952,Sam Firstenberg,5
1953,Danny Steinmann,1
1954,Andrey Konchalovskiy,3
1955,Tom McLoughlin,8
1956,Steve Kloves,2
1957,Dominique Othenin-Girard,1
1958,Joan Micklin Silver,4
1959,Carl Schultz,1
1960,Peter Bonerz,1
1961,James Orr,2
1962,Clive Barker,3
1963,Duncan Gibbins,2
1964,Michael Karbelnikoff,1
1965,Fraser C. Heston,3
1966,Gregg Champion,1
1967,Alek Keshishian,3
1968,Andrew Morahan,1
1969,Andrew Sipes,1
1970,Kevin Yagher,1
1971,Amy Holden Jones,3
1972,Martin Lawrence,1
1973,Lionel C. Martin,1
1974,Jonathan Darby,1
1975,Sammo Kam-Bo Hung,2
1976,Jean-Marie Poiré,1
1977,Mark Brown,1
1978,Wallace Wolodarsky,1
1979,Francis Glebas,1
1980,Lance Rivera,2
1981,Nnegest Likké,1
1982,C.B. Harding,1
1983,David E. Talbert,1
1984,"Marc F. Adler, Jason Maurer",1
1985,Mickey Liddell,1
1986,Artie Mandelberg,1
1987,David Carson,3
1988,Andrew Lau Wai-Keung,1
1989,Jim Strouse,1
1990,Gary Lennon,1
1991,James Dodson,1
1992,mink,1
1993,Ringan Ledwidge,1
1994,Richard Claus,1
1995,John Humber,1
1996,Jeremy Brock,1
1997,Joey Lauren Adams,1
1998,Tim Disney,1
1999,Murali K. Thalluri,1
2000,Mary Stuart Masterson,1
2001,Patricia Cardoso,1
2002,Yoshiaki Kawajiri,1
2003,Thaddeus O'Sullivan,2
2004,William Phillips,1
2005,Gavin Grazer,1
2006,Adam Coleman Howard,1
2007,Kristine Peterson,1
2008,Roger Avary,2
2009,Volker Schlöndorff,3
2010,Michael A. Simpson,2
2011,Lamberto Bava,2
2012,Stan Winston,1
2013,Hector Babenco,3
2014,Boaz Davidson,2
2015,George Mihalka,1
2016,William Lustig,4
2017,"Robert Houston, Kenji Misumi",1
2018,William Sachs,2
2019,Lynne Littman,1
2020,Saul Dibb,2
2021,Camille Delamarre,2
2022,Julius Avery,1
2023,Phil Karlson,1
2024,Michelangelo Antonioni,1
2025,Bo Arne Vibenius,1
2026,Francis Giacobetti,1
2027,Arthur Penn,5
2028,Elliot Silverstein,1
2029,Pier Paolo Pasolini,2
2030,Mark Griffiths,2
2031,Paul Newman,3
2032,Richard Tuggle,2
2033,Lyndall Hobbs,1
2034,John R. Cherry III,5
2035,Harley Cokeliss,2
2036,Bud S. Smith,1
2037,Richard Stanley,1
2038,John Schlesinger,12
2039,Richard Pearce,6
2040,Eric Meza,1
2041,Steven Seagal,1
2042,Holly Goldberg Sloan,1
2043,Ringo Lam,3
2044,Félix Enríquez Alcalá,2
2045,Theodore Witcher,1
2046,Robert Kurtzman,1
2047,Pat Proft,1
2048,Ulu Grosbard,3
2049,Peter Kassovitz,1
2050,Chris Roberts,1
2051,"Stig Bergqvist, Paul Demeyer",1
2052,"John Eng, Norton Virgien",1
2053,Kevin Allen,2
2054,Daniel Taplitz,1
2055,Kevin Bacon,1
2056,Alfredo Rodriguez de Villa,1
2057,Lance Mungia,1
2058,Hans Canosa,1
2059,Karan Johar,1
2060,Mark Fergus,1
2061,Laurie Collyer,1
2062,Will Geiger,1
2063,Q. Allan Brocka,2
2064,Jed Weintrob,1
2065,Glenn McQuaid,1
2066,George Ratliff,1
2067,Chip Hale,1
2068,Zak Penn,1
2069,Charles Dance,1
2070,J.S. Cardone,2
2071,Tony Mitchell,2
2072,Marc Klein,1
2073,Tim Hamilton,1
2074,Alan Brown,1
2075,Finn Taylor,1
2076,"Matt Checkowski, Kurt Mattila",1
2077,Darrell Roodt,4
2078,Gerry Lively,2
2079,Alejandro Monteverde,1
2080,Gerard Stembridge,1
2081,Nick Willing,2
2082,"Alex Smith, Andrew J. Smith",1
2083,Andrew Green,1
2084,John McKay,1
2085,Tim Roth,1
2086,Anjelica Huston,2
2087,Nancy Meckler,1
2088,Peter Horak,1
2089,Kim Henkel,1
2090,Trevor Nunn,4
2091,Stacy Title,1
2092,Stephen Poliakoff,3
2093,Graeme Clifford,3
2094,Andrew Birkin,1
2095,Peter Masterson,1
2096,George Mendeluk,1
2097,Vladimir Grammatikov,1
2098,Larry Cohen,5
2099,Karel Reisz,4
2100,Lucio Fulci,4
2101,Nagisa Ôshima,2
2102,Chris Eigeman,1
2103,Daniel Benmayor,1
2104,Peter Capaldi,1
2105,Russ Meyer,4
2106,Mark Robson,1
2107,Joseph W. Sarno,1
2108,René Laloux,1
2109,Jack Smight,5
2110,"Bruce Malmuth, Gary Nelson",1
2111,Jack Clayton,2
2112,Damiano Damiani,2
2113,Joseph Zito,3
2114,Robert Boris,1
2115,James Komack,1
2116,Jim McBride,3
2117,Allan Arkush,1
2118,Thomas J. Wright,2
2119,Aaron Norris,5
2120,Adam Marcus,1
2121,Robert Klane,2
2122,James Yukich,1
2123,Charles Haid,2
2124,Franco Amurri,2
2125,Billy Crystal,3
2126,Steven Baigelman,1
2127,John Nicolella,1
2128,Alan Cohn,1
2129,Damon Santostefano,2
2130,Mark Piznarski,4
2131,Chris Koch,1
2132,DJ Pooh,2
2133,Craig McCracken,2
2134,Bruce McCulloch,3
2135,Patrick Stettner,1
2136,Asif Kapadia,2
2137,Nacho Cerdà,1
2138,Michael Katleman,1
2139,Stuart Murdoch,1
2140,Alan Pao,1
2141,Asia Argento,1
2142,Adam Fields,1
2143,Ed Stone,1
2144,Pieter Jan Brugge,1
2145,Peter Burger,1
2146,Anders Rønnow Klarlund,1
2147,Kit Ryan,1
2148,Jeremy Podeswa,1
2149,Amanda Gusack,1
2150,Ann Turner,1
2151,Henry Miller,1
2152,Sean Meredith,1
2153,Ray Lawrence,2
2154,Justin Theroux,1
2155,Alice Wu,1
2156,Jason Todd Ipson,1
2157,Phedon Papamichael,1
2158,Steve Jacobs,1
2159,Scott Marshall,2
2160,Petter Næss,2
2161,Peter Tolan,1
2162,Mekhi Phifer,1
2163,Bent Hamer,1
2164,"Howard E. Baker, John Fox, Kyung Ho Lee",1
2165,Billy Kent,1
2166,Stephen Bradley,1
2167,Frank Henenlotter,4
2168,John Stewart Muller,1
2169,Matthew Bright,2
2170,"Jim Malone, Kunihiko Yuyama",1
2171,Bob Misiorowski,2
2172,Dylan Kidd,2
2173,Michael Cuesta,1
2174,Andrew Black,1
2175,Terry Winsor,3
2176,Costa-Gavras,5
2177,Tony Richardson,3
2178,Gary Oldman,2
2179,Gisaburô Sugii,1
2180,Phil Davis,1
2181,Reb Braddock,1
2182,Anthony Drazan,1
2183,Gilbert Adler,1
2184,Tony Cinciripini,1
2185,Allison Anders,3
2186,Simon Moore,1
2187,Rospo Pallenberg,1
2188,Brian Yuzna,5
2189,Sam Pillsbury,3
2190,Enzo Barboni,1
2191,Kevin Tenney,2
2192,Martin Stellman,1
2193,"Ralph Bakshi, Tom Tataranowicz",1
2194,Carl Gottlieb,1
2195,"Stanley Donen, John Barry",1
2196,Claudia Llosa,1
2197,Richard Brooks,3
2198,Dusan Makavejev,2
2199,Robert Stevenson,4
2200,"Bill Melendez, Phil Roman(co-director)",1
2201,"Ulu Grosbard, Dustin Hoffman",1
2202,James Goldstone,5
2203,William A. Fraker,1
2204,Ingmar Bergman,3
2205,John De Bello,2
2206,Norman Tokar,6
2207,Alan Clarke,5
2208,Jonathan R. Betuel,1
2209,Fritz Kiersch,2
2210,Paul Mazursky,11
2211,Ken Wiederhorn,3
2212,David Green,2
2213,Chris Walas,1
2214,"Howard Franklin, Bill Murray",1
2215,John Harrison,1
2216,Stan Dragoti,5
2217,Lili Fini Zanuck,1
2218,Burt Kennedy,2
2219,Tony Maylam,2
2220,Bruce Joel Rubin,1
2221,Charles T. Kanganis,2
2222,John Payson,1
2223,Charles Sturridge,5
2224,Andy Wilson,1
2225,"Shuki Levy, David Winning",1
2226,Gary Sinyor,1
2227,Antonio Banderas,1
2228,John Ottman,1
2229,Rob Pritts,1
2230,Chuck Sheetz,2
2231,J.B. Rogers,2
2232,Wych Kaosayananda,1
2233,"Cathy Malkasian, Jeff McGrath",1
2234,Bryan Barber,1
2235,"Matt Maiellaro, Dave Willis",1
2236,Sunu Gonera,1
2237,Charles Robert Carner,3
2238,Tim Chambers,1
2239,Ruairi Robinson,1
2240,Paddy Breathnach,3
2241,Rolfe Kanefsky,1
2242,Anthony Hopkins,1
2243,Tim Sullivan,1
2244,Dan Gildark,1
2245,Norm Hunter,1
2246,Eric Styles,1
2247,Franc. Reyes,2
2248,Adam Rapp,1
2249,"Brian Hooks, Deon Taylor",1
2250,Alex Holdridge,1
2251,Paul Dinello,1
2252,Chris Graham,1
2253,"Michael Hegner, Kari Juusonen",1
2254,Dan Harris,1
2255,Paul Mayeda Berges,1
2256,Tarun Mansukhani,1
2257,Scott Ziehl,1
2258,Gideon Raff,1
2259,Michael Keaton,1
2260,"Jonas Barnes, Michael Manasseri",1
2261,Pearry Reginald Teo,1
2262,"Kunihiko Yuyama, Darren Dunstan",1
2263,Chazz Palminteri,1
2264,John Stephenson,2
2265,Bruce Paltrow,1
2266,"Michael Coldewey, Michel Lemire",1
2267,"Daniel Liatowitsch, David Todd Ocvirk",1
2268,"Kunihiko Yuyama, Jim Malone",1
2269,Rintaro,1
2270,Takeshi Kitano,1
2271,Peter Care,1
2272,Stephen Gyllenhaal,3
2273,Maria Maggenti,1
2274,Dean Semler,2
2275,Bill Forsyth,3
2276,Brenton Spencer,2
2277,Brian Cosgrove,1
2278,"Christophe Gans, Shûsuke Kaneko, Brian Yuzna",1
2279,"Masami Hata, William T. Hurtz",1
2280,Robert Vincent O'Neill,1
2281,Steve De Jarnatt,2
2282,Ernest Thompson,1
2283,Ron Maxwell,3
2284,Patricio Valladares,1
2285,Paco Cabezas,1
2286,François Truffaut,5
2287,Marco Ferreri,1
2288,Víctor Erice,1
2289,Vincent McEveety,4
2290,Clive Donner,4
2291,Burt Reynolds,3
2292,Cheech Marin,1
2293,William Phelps,1
2294,Geneviève Robert,1
2295,Mick Garris,3
2296,Zelda Barron,1
2297,Francis Veber,2
2298,Bruce W. Smith,1
2299,Bruce Robinson,4
2300,David Price,1
2301,Henry Winkler,2
2302,Jocelyn Moorhouse,3
2303,Rick Stevenson,1
2304,Jim Kouf,2
2305,Arlene Sanford,1
2306,Richard LaGravenese,4
2307,Hugh Hudson,5
2308,Roberto Benigni,2
2309,Cheryl Dunye,1
2310,"Dave Borthwick, Jean Duval, Frank Passingham",1
2311,Matthew Diamond,2
2312,David DeFalco,1
2313,Jordan Downey,1
2314,Marc Evans,2
2315,"Pete Riski, Alan Smithee",1
2316,Andrew O'Connor,1
2317,Paul Andrew Williams,1
2318,Jeff Betancourt,1
2319,Scott Coffey,1
2320,Scott Thomas,1
2321,James Bolton,1
2322,"Michael G. Bartlett, Kevin Gates",1
2323,Alexander Bulkley,1
2324,"Andrew Wilson, Luke Wilson",1
2325,Mark Steilen,1
2326,Martha Fiennes,2
2327,Brett Sullivan,1
2328,Jeff Nathanson,1
2329,Jon Knautz,1
2330,Alex Turner,1
2331,Ed Bye,2
2332,Gregory Jacobs,2
2333,Martin Hynes,1
2334,Antony Cordier,1
2335,Sue Kramer,1
2336,Jonathan Yudis,1
2337,David Presley,1
2338,Warren P. Sonoda,1
2339,Ian Fitzgibbon,2
2340,Harris Goldberg,1
2341,Alison Murray,1
2342,Fred Durst,2
2343,Craig Lucas,1
2344,Michael Clancy,1
2345,Marleen Gorris,2
2346,Alec Baldwin,1
2347,Paul Fenech,1
2348,Craig Shapiro,2
2349,Jake Scott,2
2350,Rose Troche,1
2351,"Ben Elton, Hugh Laurie",1
2352,Adam Bernstein,2
2353,Mark Pavia,1
2354,John Bailey,1
2355,Stanley Tucci,1
2356,John Pieplow,1
2357,William Nicholson,1
2358,David Evans,1
2359,Christopher Coppola,1
2360,Richard Williams,1
2361,Craig Bolotin,2
2362,Andy Sidaris,1
2363,Percy Adlon,1
2364,Douglas Cheek,1
2365,"Jackie Chan, Sammo Kam-Bo Hung",1
2366,Martin Davidson,2
2367,Jay Sandrich,1
2368,"James Cameron, Ovidio G. Assonitis, Miller Drake",1
2369,Joseph Manduke,1
2370,Donald Wrye,3
2371,Anthony Burns,1
2372,David Greene,3
2373,"Michael Benveniste, Howard Ziehm",1
2374,Rainer Werner Fassbinder,9
2375,John D. Hancock,3
2376,Václav Vorlícek,1
2377,Philip D'Antoni,1
2378,Charles Bail,2
2379,Kevin Connor,5
2380,David Lowell Rich,2
2381,Bill Norton,3
2382,Ken Annakin,4
2383,Daniel Petrie,9
2384,Richard Wenk,1
2385,Ethan Wiley,1
2386,Christopher Leitch,1
2387,"Ken Kwapis, Marisa Silver",1
2388,Patrick Hasburgh,1
2389,James B. Harris,2
2390,Charles Grosvenor,1
2391,Stuart Orme,2
2392,Christopher Monger,1
2393,Carlo Carlei,2
2394,Kevin James Dobson,1
2395,Tab Murphy,1
2396,Rusty Cundieff,3
2397,"Larry Leker, Paul Sabella",1
2398,Robert Harling,1
2399,"Fred Schepisi, Robert Young",1
2400,Steve Gomer,2
2401,Michael Martin,1
2402,Scott Silver,2
2403,Matthew Warchus,1
2404,Nick Gomez,2
2405,Diane Keaton,2
2406,Sally Field,1
2407,Robert Adetuyi,1
2408,Jesse Vaughan,1
2409,Jim Hanon,1
2410,Ryan Nicholson,1
2411,Ned Farr,1
2412,Paul Fox,1
2413,Stephen Fry,1
2414,Allan A. Goldstein,2
2415,Maria Ripoll,1
2416,David Semel,1
2417,Kate Woods,1
2418,Alan Rudolph,6
2419,Martyn Burke,2
2420,"Anthony Abrams, Adam Larson Broder",1
2421,Steve Buscemi,2
2422,"Richard Glatzer, Wash Westmoreland",2
2423,Rob Green,1
2424,Greg Pritikin,1
2425,Jane Weinstock,1
2426,Michael Burke,1
2427,Greg Berlanti,2
2428,Predrag Antonijevic,2
2429,Rich Wilkes,1
2430,Daniel Lee,1
2431,Lance Young,1
2432,John Roberts,1
2433,Kevin Spacey,2
2434,Adam Resnick,1
2435,Simon Shore,2
2436,"Screaming Mad George, Steve Wang",1
2437,Bobcat Goldthwait,3
2438,Nancy Savoca,1
2439,Bob Logan,2
2440,"Joe Dante, Carl Gottlieb, Peter Horton, John Landis, Robert K. Weiss",1
2441,Jimmy T. Murakami,1
2442,Tom DeSimone,2
2443,Jeremy Kagan,5
2444,"Donald G. Jackson, R.J. Kizer",1
2445,Charles Kaufman,1
2446,Harry Bromley Davenport,1
2447,John Derek,2
2448,Paul Lynch,2
2449,Wilford Leach,1
2450,Charles Jarrott,4
2451,Marcello Fondato,1
2452,Alfred Sole,1
2453,Gordon Hessler,2
2454,Michael Campus,1
2455,"Martin Davidson, Stephen Verona",1
2456,Bernard L. Kowalski,1
2457,Jack Hill,3
2458,Umberto Lenzi,1
2459,Bitto Albertini,1
2460,Jerry Jameson,2
2461,Michael Anderson,6
2462,Donald Cammell,2
2463,Walerian Borowczyk,1
2464,Thomas K. Avildsen,1
2465,Peter Sasdy,1
2466,Lamont Johnson,9
2467,John Byrum,2
2468,Arna Selznick,1
2469,Rudy De Luca,1
2470,Nicholas Meyer,6
2471,Marshall Brickman,2
2472,Elaine May,3
2473,Joan Freeman,1
2474,"Tony Bill, Barry L. Young",1
2475,Ralph S. Singleton,1
2476,Paul Flaherty,3
2477,John Erman,8
2478,Geoff Burrowes,2
2479,Damian Harris,2
2480,John Howley,1
2481,Doug McHenry,2
2482,Peter Hall,3
2483,Bill Couturié,1
2484,Paul Miller,7
2485,Robert Butler,3
2486,Jeff Franklin,2
2487,Janusz Kaminski,1
2488,Eric Bross,1
2489,John Hoffman,1
2490,Hatsuki Tsuji,1
2491,Josh Stolberg,1
2492,Wayne Beach,1
2493,Ian Iqbal Rashid,1
2494,Mike Nawrocki,1
2495,Randy Moore,1
2496,Kyle Patrick Alvarez,2
2497,"Alan Cumming, Jennifer Jason Leigh",1
2498,Dan Cohen,1
2499,Mark Joffe,3
2500,Julie Davis,2
2501,Eric Blakeney,1
2502,Matt Dillon,1
2503,"Dominic Anciano, Ray Burdis",1
2504,Tassos Boulmetis,1
2505,Adrian Edmondson,2
2506,David Caesar,1
2507,Jonathan Teplitzky,2
2508,Frank Longo,1
2509,Henry Bromell,1
2510,Richard Kwietniowski,1
2511,Jeff Abugov,1
2512,Terence Davies,5
2513,Brian Gilbert,4
2514,Jordan Brady,2
2515,John Hay,1
2516,Gillies MacKinnon,5
2517,Michael Steinberg,1
2518,Robert Patton-Spruill,1
2519,Antonio Tibaldi,1
2520,Po-Chih Leong,1
2521,Brian Sloan,1
2522,Brian Gibson,4
2523,Steve Wang,2
2524,Don McKellar,1
2525,Jim Mallon,1
2526,Philip Haas,2
2527,Eric Schaeffer,2
2528,Yves Simoneau,4
2529,Alex Sichel,1
2530,Michael Lessac,1
2531,"Dario Argento, George A. Romero",1
2532,Michael Tolkin,1
2533,Martin Sheen,1
2534,Avi Nesher,1
2535,Charles E. Sellier Jr.,1
2536,Donna Deitch,2
2537,James M. Muro,1
2538,David Hugh Jones,6
2539,"John Hough, Vincent McEveety",1
2540,Rafal Zielinski,1
2541,"Michael Nankin, David Wechter",1
2542,Bruce D. Clark,1
2543,Charles B. Pierce,2
2544,"Berry Gordy, Tony Richardson, Jack Wormser",1
2545,Stanley Donen,4
2546,James William Guercio,1
2547,Eugenio Martín,1
2548,Gene Wilder,3
2549,Sam Wanamaker,1
2550,Dick Lowry,1
2551,Marvin J. Chomsky,4
2552,Art Linson,2
2553,Phillip Borsos,4
2554,Robert M. Young,3
2555,Janice Karman,1
2556,"George Jackson, Doug McHenry",1
2557,Barnet Kellman,1
2558,Mikael Salomon,5
2559,James Lapine,3
2560,Bill Bennett,1
2561,Scott Winant,1
2562,Manny Coto,3
2563,Peter Ho-Sun Chan,1
2564,"Mamoru Hosoda, Shigeyasu Yamauchi",1
2565,Stephen Carpenter,1
2566,Gérard Pirès,1
2567,Antony J. Bowman,1
2568,Ed Solomon,1
2569,Greg Harrison,1
2570,Guy Maddin,1
2571,"Youssef Chahine, Amos Gitai, Shôhei Imamura, Alejandro G. Iñárritu, Claude Lelouch, Ken Loach, Samira Makhmalbaf, Mira Nair, Idrissa Ouedraogo, Sean Penn, Danis Tanovic",1
2572,"Stefan Fjeldmark, Greg Manwaring, Michael Donovan, Michael Hegner",1
2573,David Atkins,1
2574,Sandra Goldbacher,2
2575,Del Shores,1
2576,Larry Blamire,1
2577,William Boyd,1
2578,Michael Haussman,1
2579,Robert Lee King,1
2580,Deepa Mehta,2
2581,Jill Sprecher,1
2582,Bryan Johnson,1
2583,Dein Perry,1
2584,Paul Gross,2
2585,Zoe Clarke-Williams,1
2586,Jenniphr Goodman,1
2587,Al Pacino,1
2588,Álex de la Iglesia,2
2589,Theresa Connelly,1
2590,Stacy Cochran,1
2591,Sang-ok Shin,1
2592,Victor Nunez,1
2593,Eric Steven Stahl,1
2594,"Paul Auster, Wayne Wang, Harvey Wang",1
2595,Pen Densham,1
2596,Christopher Hampton,3
2597,Gabriel Axel,1
2598,Lloyd Kaufman,2
2599,Jonathan Kahn,1
2600,James D.R. Hickox,1
2601,Betty Kaplan,1
2602,"Tom Stern, Alex Winter",1
2603,Hal Hartley,4
2604,David Webb Peoples,1
2605,Tom DiCillo,2
2606,Nicholas Kazan,1
2607,Keva Rosenfeld,1
2608,Frank LaLoggia,1
2609,Rick Sloane,1
2610,Bertrand Tavernier,3
2611,Philippe Mora,3
2612,Matt Cimber,2
2613,Slava Tsukerman,1
2614,Peter R. Hunt,4
2615,Brian Trenchard-Smith,4
2616,Lang Elliott,1
2617,Sergio Martino,2
2618,John D. Lamond,1
2619,Luigi Cozzi,2
2620,George Barry,1
2621,Bethel Buckalew,2
2622,Roy Ward Baker,3
2623,Dick Richards,3
2624,Joe Camp,4
2625,Leonid Gaidai,1
2626,Hall Bartlett,1
2627,Jean Eustache,1
2628,Lindsay Anderson,2
2629,Michael Wadleigh,1
2630,Lewis John Carlino,3
2631,Michael Dinner,4
2632,Mike Joens,1
2633,Bud Yorkin,1
2634,"Steven Kampmann, William Porter",1
2635,"Joseph Barbera, William Hanna",1
2636,Mark DiSalle,1
2637,Nadia Tass,1
2638,Jeffrey Hornaday,2
2639,"Kevin Hooks, Rolando Hudson",1
2640,Robert Radler,2
2641,Leon Ichaso,1
2642,Desmond Nakano,1
2643,Tom DeCerchio,1
2644,Farhad Mann,1
2645,Lee David Zlotoff,1
2646,Tom Schulman,1
2647,Peter Baldwin,1
2648,Hugh Johnson,1
2649,Albert Brooks,4
2650,Jeffrey W. Byrd,2
2651,Alejandro Chomski,1
2652,Bruce Hendricks,2
2653,Ian Mune,1
2654,María Lidón,1
2655,"Efram Potelle, Kyle Rankin",1
2656,Gary Jones,1
2657,John Swanbeck,1
2658,Aileen Ritchie,1
2659,Marcus Adams,2
2660,Robert Connolly,2
2661,Bam Margera,1
2662,Miles Swain,1
2663,Abdul Malik Abbott,1
2664,Élie Chouraqui,1
2665,Jonas McCord,1
2666,Émile Gaudreault,1
2667,John Malkovich,1
2668,Billy Morrissette,1
2669,Colette Burson,1
2670,Jonathan Kesselman,1
2671,Alan Mehrez,1
2672,Christopher Ashley,1
2673,Timothy Hutton,1
2674,Ana Kokkinos,1
2675,David Moreton,1
2676,Oley Sassone,1
2677,James Melkonian,2
2678,Theodoros Angelopoulos,2
2679,Rupert Harvey,1
2680,Adam Simon,2
2681,Scott Spiegel,1
2682,Norman René,2
2683,Philip Ridley,1
2684,Peter Israelson,1
2685,Jan Egleson,1
2686,Luca Bercovici,1
2687,Jon Hess,1
2688,Peter Werner,4
2689,Jim Wynorski,3
2690,Juan Piquer Simón,1
2691,Jeff Bleckner,6
2692,"Richard W. Haines, Lloyd Kaufman",1
2693,"Greg Ford, Friz Freleng, Chuck Jones, Terry Lennon, Robert McKimson, Maurice Noble(co-director)",1
2694,Lance Hool,2
2695,Paul Nicholas,1
2696,James Sbardellati,1
2697,Pierre De Moro,1
2698,David Schmoeller,2
2699,William Peter Blatty,1
2700,Sergio Corbucci,1
2701,Paul Bartel,3
2702,Max Baer Jr.,1
2703,Jack Arnold,1
2704,Jorge Grau,1
2705,Saul Bass,1
2706,Luchino Visconti,2
2707,Irwin Allen,1
2708,Michael Miller,3
2709,Brian G. Hutton,2
2710,Gene Saks,2
2711,James Dearden,2
2712,Terry Hughes,1
2713,Tom Mankiewicz,1
2714,E. Max Frye,1
2715,J.F. Lawton,2
2716,Jack Baran,1
2717,Howard Franklin,2
2718,Caroline Thompson,3
2719,Doug Ellin,2
2720,Richard Martin,1
2721,Richard Rich,2
2722,"Scott Alexander, Larry Karaszewski",1
2723,John Stainton,1
2724,Rob Hardy,1
2725,Meiert Avis,1
2726,"Bill Boyce, John Stronach",1
2727,Jesús Franco,3
2728,Pauly Shore,1
2729,Blair Treu,2
2730,Sheri Elwood,1
2731,"Chris Delaporte, Pascal Pinon(co-director)",1
2732,Rolf de Heer,2
2733,Lisa France,1
2734,John Forte,1
2735,Josh Klausner,1
2736,Hampton Fancher,1
2737,Kevin Alyn Elders,1
2738,Robert Vince,1
2739,Éva Gárdos,1
2740,Mark Illsley,2
2741,Robert Marcarelli,1
2742,Daniel Minahan,1
2743,Lee Demarbre,1
2744,David Caffrey,1
2745,Michael A. Martinez,1
2746,Thomas Haden Church,1
2747,Christine Lahti,1
2748,Robert Downey Sr.,1
2749,Bob Balaban,1
2750,Bob Bralver,1
2751,Cedric Sundstrom,2
2752,Peter George,1
2753,Jimmy Huston,1
2754,Bigas Luna,1
2755,Paul Bogart,4
2756,Buddy Giovinazzo,1
2757,Douglas Hickox,3
2758,Dennis Donnelly,1
2759,William Girdler,2
2760,Richard C. Sarafian,2
2761,Alan Gibson,4
2762,Jack Starrett,3
2763,Melvin Frank,2
2764,Conrad Rooks,1
2765,Peter Sykes,2
2766,Larry Peerce,4
2767,Jun Fukuda,2
2768,"Oz Scott, Michael Schultz",1
2769,Alan Alda,4
2770,John Berry,2
2771,Paul Aaron,2
2772,Gerald Seth Sindell,1
2773,Robert Clouse,4
2774,"Prince, Michael Ballhaus",1
2775,William Richert,2
2776,Christopher Crowe,2
2777,Greydon Clark,2
2778,Prince,1
2779,Maurice Phillips,1
2780,József Gémes,1
2781,Ken Olin,2
2782,Mark Lewis,1
2783,John Fortenberry,2
2784,Tuck Tucker,1
2785,George Haas,1
2786,Peter Sheridan,1
2787,Ron Krauss,1
2788,K.C. Bascombe,1
2789,Sue Brooks,1
2790,Christina Wayne,1
2791,Aisling Walsh,1
2792,Pete Jones,1
2793,Metin Hüseyin,1
2794,Cory McAbee,1
2795,Donal Lardner Ward,1
2796,William Wesley,2
2797,"Drew Daywalt, David Schneider",1
2798,Jason Wulfsohn,1
2799,Nico Mastorakis,2
2800,Andrew Gurland,1
2801,Mike Mendez,1
2802,Scott Elliott,1
2803,Aleksi Vellis,1
2804,Barry Shils,1
2805,"Michael Herz, Lloyd Kaufman",2
2806,Daisuke Nishio,2
2807,"Neal Jimenez, Michael Steinberg",1
2808,Lodge Kerrigan,1
2809,Fred Olen Ray,2
2810,Roger Nygard,1
2811,Stephen Cornwell,1
2812,"George Dugdale, Mark Ezra, Peter Mackenzie Litten",1
2813,Michele Soavi,1
2814,"Danny Steinmann, Tom DeSimone",1
2815,Roger Vadim,1
2816,David Byrne,1
2817,Bill Froehlich,1
2818,Claude Whatham,2
2819,Ted Bafaloukos,1
2820,Narciso Ibáñez Serrador,1
2821,Robert Fuest,2
2822,Joel M. Reed,1
2823,Toshiya Fujita,1
2824,Steve Carver,4
2825,Ken Shapiro,1
2826,Giancarlo Santi,1
2827,Tom Gries,5
2828,Gilbert Cates,1
2829,Daryl Duke,3
2830,"Chuck Jones, Phil Monroe",1
2831,Jean-Claude Lord,2
2832,Peter Manoogian,1
2833,"Ben Bolt, Harold Becker",1
2834,William Tannen,2
2835,Robert Resnikoff,1
2836,James D. Parriott,1
2837,Tom Ropelewski,1
2838,Nils Gaup,1
2839,Mary Agnes Donoghue,1
2840,Eugene Levy,1
2841,Marshall Herskovitz,2
2842,Matthew Meshekoff,1
2843,Robert Young,3
2844,Billy Weber,1
2845,Norberto Barba,1
2846,Darin Scott,1
2847,Neil Abramson,1
2848,Peter M. Cohen,1
2849,Gary Preisler,1
2850,Alex Steyermark,1
2851,Richard Lowenstein,1
2852,Julian Richards,1
2853,Adam Goldberg,1
2854,Steven Feder,1
2855,Bernt Amadeus Capra,1
2856,Terence Hill,1
2857,Godfrey Ho,1
2858,Martin Bell,1
2859,"James L. George, Bob Seeley",1
2860,Barry Primus,1
2861,D.J. Webster,1
2862,"Danny Lee, Herman Yau",1
2863,Robert Englund,1
2864,John Quinn,1
2865,Stephen Weeks,1
2866,Dennis Feldman,1
