,Production,Production Counts
345,A&amp;E Television Networks,2
346,Universal / Warner Bros.,1
347,Mirimax Films,1
348,Wrekin Hill,1
349,Alliance,3
350,Imaeg Entertainment,1
351,Bloody Disgusting Films,1
352,Bankside Films,2
353,Metrodome Group,1
354,Film Sales Company,1
355,Seraphim Films,1
356,Paladin Films,1
357,Fighter Productions,1
358,First Look Pictures,13
359,Roadside Attractions/Samuel Goldwyn,1
360,IFC Entertainment,1
361,Regent Releasing/here! Films,4
362,Dimension Films/The Weinstein Company,1
363,Republic Pictures Home Video,16
364,Seon Films,1
365,PolyGram Video,17
366,International Classics Inc.,1
367,De Laurentiis Entertainment Gr,1
368,Turner Home Entertainment,8
369,PolyGram,3
370,MGM Distribution,1
371,Fantastic Films International,1
372,Disneynature,1
373,Tribeca Films. Well Go USA,1
374,American Zoetrope,1
375,Monterey Media,4
376,Unstoppable Entertainment,1
377,Freak Show Entertainment,1
378,Independant Pictures,1
379,Apipoulai,1
380,Momentum Pictures,1
381,Vertigo Films,3
382,PreviewNetworks,1
383,First Look Home Entertainment,4
384,Fred Berner Films,1
385,Magnolia Pictures/Magnet Pictures,1
386,Sony Entertainment,3
387,Newmarket,1
388,Destination Film,1
389,Dream Entertainment,1
390,AVCO Embassy Pictures,17
391,Samuel Goldwyn,1
392,H.B. Halicki Mercantile Co.,1
393,Rhino Home Video,1
394,Orion Pictures Corp.,1
395,Walt Disney Home Entertainment,6
396,Columbia Pictures Corporation,6
397,Columbia TriStar,3
398,The Film Sales Company,1
399,Sony Classic Pictures,1
400,Chicago Releasing,1
401,E1 Entertainment,9
402,Artist View Entertainment,1
403,Anderson Digital,2
404,Naedomi Media,1
405,Grindstone Entertainment Group,1
406,NGN Productions,1
407,Paladin,2
408,Ruby Films,1
409,Producers Releasing Corporation,1
410,Entertainment One Films,1
411,Syndicate Films,1
412,First Look Media,2
413,Hart Sharp Video,3
414,Silver Sphere Corporation,1
415,Palm Pictures,6
416,Wellspring Media,2
417,DEJ Productions,2
418,ARP,1
419,New Zealand Film Commission,2
420,New World,17
421,Jensen Farley Pictures,2
422,New World Video,16
423,Lorimar Home Video,14
424,21st Century Film Corporation,1
425,New Films International,1
426,Metro-Goldwyn-Mayer (MGM),1
427,Lionsgate Releasing,2
428,Crimson Films,1
429,Codex Pictures Limited,1
430,Tribeca,1
431,eOne Entertainment Distribution,2
432,Labor Productions Inc.,1
433,Present Pictures,1
434,120db Films,1
435,Little Film Company,1
436,AMG Entertainment,1
437,Gold Circle Films,1
438,TLA Releasing,4
439,First Independent Pictures,4
440,DisneyToon Studios,1
441,Magnolia Home Entertainment,1
442,Destination Films,5
443,UGC International,1
444,Union Station Media,1
445,Redwood Palms Pictures,1
446,Ghost Logic,1
447,Manhattan Pictures Internation,1
448,Panasia Films Production,1
449,Kushner-Locke Productions,1
450,Severin Films,3
451,A24 and DIRECTV,5
452,National General Pictures,3
453,eRealBiz,1
454,Janus Films,6
455,American International Picture,4
456,Well Go USA Entertainment,1
457,Embassy,5
458,New Line/Columbia Tristar,1
459,Columbia Tri-Star,1
460,Touchstone,2
461,Dreamworks/Paramount,3
462,Touchstone Pictures/Treehouse Films,1
463,The Devil&#39;s Carnival LLC,1
464,Spy Global Media,1
465,Canal Street Films,1
466,Global Cinema Distribution,1
467,Cinetic,1
468,NEM,1
469,Koch Entertainment,1
470,Rampage Entertainment,1
471,Pathé Distribution,1
472,Samuel Goldwyn Film/Red Envelope,1
473,Matson Films,1
474,City Lights Pictures,1
475,Diva,1
476,The Asylum,2
477,Sweetland Films,1
478,October Releasing,1
479,Sherwood,1
480,Filmways Pictures,2
481,Anchor Bay Entertainment Inc.,1
482,Criterion Collection,22
483,Cannon Releasing,2
484,Orion,7
485,Davis Panzer,1
486,Artisan,4
487,Gener8Xion Entertainment,1
488,Yari Film Group Releasing,1
489,Walt Disney Films,1
490,Vuguru,1
491,Electronic Arts,1
492,Bloody Disgusting,1
493,Kaleidoscope,1
494,Wolfe Video,3
495,The Weinistein Company,1
496,G2 Pictures,1
497,Revolution Films,1
498,Cipher Films,1
499,UFD,1
500,Samuel Goldwyn/Roadside,1
501,Genius Products,2
502,Dreamachine,1
503,Event Film,1
504,Xenon Pictures,1
505,Evergreen,1
506,Orion Classics,4
507,WingNut Films,1
508,Island,1
509,Jack H. Harris Enterprises Inc,1
510,South Australian Film,1
511,Laser Media,1
512,Tri-Star Pictures,2
513,Cannon Home Video,8
514,Arts For The Free Spirit,1
515,VVS Films,1
516,Freestlye Releasing,1
517,MGM/The Weinstein Co.,1
518,Cinedigm Films,1
519,Freestyle Digital Media,1
520,Virgil Films,1
521,Darclight Films,2
522,Echo Bridge Entertainment,1
523,Empire Film Group,1
524,New World Pictures,12
525,Unknown,8
526,Screen Media Ventures,5
527,Destination Films and Vertical Entertainment,2
528,Best Film &amp; Video Corp.,1
529,TriStar,4
530,Dreamworks Distribution,1
531,Unison Films,1
532,G.O. Films,1
533,Peace Arch,1
534,M6 Studio,1
535,The Weinstein Co./MGM,2
536,Rysher Entertainment,1
537,Rhino Entertainment,1
538,General Media Entertainment,1
539,Lionsgate Premiere,2
540,Cinerez,1
541,Rank Film Distributors,1
542,Universal/Paramount Pictures,1
543,EMI Films Ltd.,1
544,Cloud Ten Pictures,1
545,Grindstone,1
546,Dimensionwerks,1
547,China Lion Films,1
548,Bloody Disgusting/The Collective,1
549,A-Mark Entertainment,1
550,Vitagraph Films,1
551,Tartan USA,1
552,Grindhouse Entertainment,1
553,Bleiberg Entertainment,1
554,Cinema Libre Studio,2
555,Overture Fillms,1
556,Alliance Atlantis,2
557,United International Pictures,1
558,United Artists Pictures,2
559,Zentropa,1
560,120 Degree Films,1
561,Pacific Films,1
562,FilmFour,1
563,USA Home Entertainment,3
564,Village Roadshow Pictures,2
565,Gramercy,4
566,Dead Alive,1
567,Imperial Entertainment Corp,2
568,Paragon,1
569,AETAS Film Productions,1
570,s,1
571,First Artists,3
572,Tango Entertainment,3
573,Trancas International Films Inc.,1
574,VCI,3
575,All Girl Productions,1
576,Genius Productions,1
577,Bauer Martinez Studios,2
578,Media Talent Group,1
579,Blue Sky Media,1
580,United International,1
581,Pocket Releasing,1
582,Roadshow Entertainment,2
583,7-57 Releasing,1
584,Fragile Films,1
585,HBO Films,17
586,Urban Vision Entertainment,1
587,Argyll Film Partners,1
588,Neverland Films,1
589,Live Entertainment,2
590,Ascot Films,1
591,Strand Releasing,15
592,Golan-Globus Productions,3
593,Analysis,1
