,Actor Names,Actor Counts
364,Carla Bianco,1
365,John C. Reilly,21
366,Sarah Silverman,3
367,Jack McBrayer,2
368,Jane Lynch,5
369,Nicholas Hoult,10
370,Eleanor Tomlinson,1
371,Stanley Tucci,16
372,James Franco,27
373,Rachel Weisz,22
374,Michelle Williams,16
375,Jai Courtney,4
376,Sebastian Koch,2
377,Mary Elizabeth Winstead,8
378,Vincent Cassel,7
379,Rosario Dawson,19
380,Danny Sapani,1
381,Carmen Pelaez,1
382,Marin Ireland,1
383,Vanessa Hudgens,8
384,Ashley Benson,2
385,Jim Carrey,25
386,Jason Bateman,14
387,Hope Davis,10
388,Frank Grillo,4
389,Michael Nyqvist,4
390,Reese Witherspoon,25
391,Tye Sheridan,4
392,Jacob Lofland,1
393,Robert Redford,23
394,Julie Christie,11
395,Susan Sarandon,38
396,Finley Jacobsen,1
397,Craig Van Hook,1
398,Eva Mendes,14
399,Olga Merediz,1
400,Dwayne Johnson,19
401,Jonathan Pryce,16
402,Byung-Hun Lee,2
403,Elodie Yung,1
404,Nicolas Cage,51
405,Ryan Reynolds,23
406,Catherine Keener,20
407,Marlon Wayans,11
408,Marlene Forte,1
409,Essence Atkins,4
410,David Koechner,7
411,Mireille Enos,2
412,Daniella Kertesz,1
413,James Badge Dale,4
414,Andrea Riseborough,7
415,Asa Butterfield,6
416,Hailee Steinfeld,3
417,Henry Cavill,8
418,Amy Adams,18
419,Michael Shannon,11
420,Diane Lane,23
421,Charlie Hunnam,9
422,Diego Klattenhoff,1
423,Rinko Kikuchi,2
424,Jennifer Lawrence,12
425,Liam Hemsworth,5
426,Jack Quaid,1
427,Taylor St. Clair,1
428,Armie Hammer,3
429,William Fichtner,5
430,Tom Wilkinson,24
431,Tao Okamoto,1
432,Rila Fukushima,1
433,Hiroyuki Sanada,3
434,Sharlto Copley,5
435,Alice Braga,6
436,Jaden Smith,4
437,Sophie Okonedo,5
438,Zoë Kravitz,1
439,Kevin Bacon,34
440,Tom Hiddleston,7
441,Anthony Hopkins,47
442,Chloë Grace Moretz,10
443,Morris Chestnut,13
444,Claudia Lee,1
445,Sheri Moon Zombie,4
446,Bruce Davison,11
447,Jeff Daniel Phillips,1
448,Judy Geeson,2
449,Julia Dietze,1
450,Christopher Kirby,3
451,Götz Otto,3
452,Udo Kier,9
453,Naomi Watts,22
454,Tom Holland,4
455,Samuel Joslin,1
456,Gina Rodriguez,1
457,Khool-Aid Rios,1
458,Jenni Rivera,1
459,Lou Diamond Phillips,11
460,Caleb Landry Jones,2
461,Sarah Gadon,5
462,Lisa Berry,1
463,Douglas Smith,2
464,Matthew Macfadyen,7
465,Eric MacLennan,1
466,Theo Morrissey,1
467,Danny Trejo,10
468,Eric Roberts,15
469,Rachele Brooke Smith,2
470,Justin Price,1
471,Jack Reynor,1
472,Fionn Walton,1
473,Gavin Drea,1
474,Patrick Gibson,1
475,Al Pacino,33
476,Christopher Walken,38
477,Alan Arkin,25
478,Julianna Margulies,5
479,Michelle Monaghan,10
480,Stephen Dorff,20
481,Robert LaSardo,1
482,John Magaro,2
483,Jack Huston,5
484,Will Brill,1
485,Brahm Vaccarella,1
486,Alan Cumming,12
487,Garret Dillahunt,3
488,Isaac Leyva,1
489,Frances Fisher,8
490,Jonny Weston,2
491,Gattlin Griffith,4
492,Peter Holden,1
493,Musetta Vander,1
494,Charlie Bewley,2
495,Lielle Tova Blinkoff,1
496,Tim Curry,18
497,Sean Patrick Flanery,9
498,Norman Reedus,7
499,David Della Rocco,1
500,Bruce Campbell,11
501,Ellen Sandweiss,1
502,Richard DeManincor,1
