,Actor Names,Actor Counts
8472,Doug McClure,5
8473,John McEnery,2
8474,Susan Penhaligon,2
8475,Keith Barron,2
8476,Efrem Zimbalist Jr.,1
8477,Paul Mace,1
8478,Dirk Benedict,2
8479,Richard B. Shull,3
8480,Roger C. Carmel,1
8481,Marj Dusay,1
8482,Booker Bradshaw,1
8483,Robert DoQui,2
8484,William Elliott,1
8485,Ivan Rassimov,4
8486,Me Me Lai,3
8487,Prasitsak Singhara,1
8488,Sulallewan Suxantat,1
8489,Laura Gemser,2
8490,Karin Schubert,1
8491,Angelo Infanti,1
8492,Isabelle Marchall,1
8493,Rico Dawson,1
8494,Edward Schaaf,1
8495,Robert McLane,1
8496,Elaine Collins,1
8497,Candy Samples,1
8498,Berry Kroeger,1
8499,Patti D'Arbanville,4
8500,Ike Eisenmann,1
8501,Lise Danvers,1
8502,Fabrice Luchini,2
8503,Charlotte Alexandra,1
8504,Lisbeth Hummel,1
8505,Lee Canalito,1
8506,Nancy Dussault,1
8507,Hanna Schygulla,3
8508,Klaus Löwitsch,2
8509,Ivan Desny,1
8510,Gisela Uhlen,1
8511,Colin Blakely,6
8512,Lee Horsley,1
8513,Kathleen Beller,2
8514,George Maharis,1
8515,Toni Attell,1
8516,Mike Bacarella,1
8517,Billy Beck,1
8518,Don Bovingloh,1
8519,Pia Zadora,2
8520,Lloyd Bochner,1
8521,Bibi Besch,2
8522,Peter Strauss,1
8523,Georgia Engel,1
8524,Sunny Besen Thrasher,1
8525,Jsu Garcia,1
8526,Rita Wilson,4
8527,Tim Thomerson,5
8528,Richard Council,1
8529,Robert Schenkkan,1
8530,Paul Austin,1
8531,Eva Marie Saint,5
8532,Jerry Orbach,4
8533,Haviland Morris,2
8534,John McMartin,1
8535,Amy Wright,1
8536,Justine Bateman,1
8537,Joe Flaherty,2
8538,Bill Byrge,1
8539,Barbara Tyson,1
8540,Kelly Wolf,1
8541,Dick O'Neill,2
8542,Alyson Reed,1
8543,Joel Brooks,2
8544,Annie Potts,3
8545,Cecilia Pérez-Cervera,1
8546,Georgie Cranford,1
8547,Edward Saxon,1
8548,Robin Bartlett,3
8549,Donna DeLory,1
8550,Niki Harris,1
8551,Luis Camacho,1
8552,Ken Pogue,3
8553,Damon Redfern,1
8554,Charles Kassatly,1
8555,Irene Cara,4
8556,Carol Channing,3
8557,Fredric Lehne,2
8558,Christopher Lawford,1
8559,Anthony 'Treach' Criss,1
8560,Kim Murphy,1
8561,Art Malik,4
8562,Paloma Baeza,2
8563,Richard Chaim,1
8564,Matt LeBlanc,1
8565,Gene Ross,1
8566,Paul Hewitt,1
8567,Sage Allen,1
8568,George Cole,1
8569,Pat Skipper,2
8570,Mario Yedidia,1
8571,Chao Li Chi,2
8572,Tyra Banks,1
8573,Sarah Wynter,1
8574,Lance Bass,1
8575,Joey Fatone,1
8576,GQ,1
8577,Brittany Moldowan,1
8578,Gregory Abbey,2
8579,Sebastian Arcelus,1
8580,Ben Baron,1
8581,Stephanie Sherrin,1
8582,Chris Morris,1
8583,Caitlin Wachs,1
8584,Adrian Young,1
8585,Art Bonilla,1
8586,Bart McCarthy,1
8587,Tre Armstrong,1
8588,Boyd Banks,1
8589,Clé Bennett,1
8590,Ardon Bess,1
8591,Phil Vischer,2
8592,Mike Nawrocki,2
8593,Cam Clarke,1
8594,Laura Gerow,1
8595,Oren Skoog,1
8596,Josh Miller,1
8597,Patrick Casey,1
8598,Jennifer Lyons,1
8599,Roy Abramsohn,1
8600,Elena Schuber,1
8601,Katelynn Rodriguez,1
8602,Jack Dalton,1
8603,Jonathan Groff,1
8604,Tyra Richards,1
8605,Beth Furumasu,1
8606,Keiko Green,1
8607,Otis,1
8608,Steven Freedman,1
8609,Pavan Grover,1
8610,Michelle Wolff,1
8611,Mark Voltura,1
8612,Jane McGregor,1
8613,Julie White,1
8614,Wendy Hughes,4
8615,Dan Bucatinsky,1
8616,Richard Ruccolo,1
8617,Sasha Alexander,1
8618,Michael DeLorenzo,1
8619,Sadie Frost,1
8620,Georges Corraface,2
8621,Ieroklis Michaelidis,1
8622,Renia Louizidou,1
8623,Tamer Karadagli,1
8624,Ron Anderson,1
8625,Marty Antonini,1
8626,Randy Birch,1
8627,Adrian Edmondson,1
8628,Sophie Vavasseur,1
8629,Niall Beagan,1
8630,Hugh McDonagh,1
8631,Kathleen McDermott,1
8632,Paul Popplewell,4
8633,Ruby Milton,1
8634,Susie Porter,1
8635,Catherine McClements,1
8636,Kris McQuade,1
8637,Arthur J. Nascarella,1
8638,Ali Landry Monteverde,1
8639,James Roday,3
8640,Markus Redmond,1
8641,Nutsa Kukhianidze,1
8642,Ouassini Embarek,1
8643,Marc Lavoine,1
8644,Renée Humphrey,1
8645,Paul Spence,1
8646,David Lawrence,1
8647,Gordon Skilling,1
8648,Andrew Sparacino,1
8649,Tommy Dean Musset,1
8650,Bárbara Elorrieta,1
8651,Lewis McKenzie,1
8652,Jane Lapotaire,3
8653,Jouko Ahola,1
8654,Anna Gourari,1
8655,Max Raabe,1
8656,John Paul Pitoc,1
8657,Brad Beyer,1
8658,Louise Myrback,1
8659,William R. Moses,1
8660,Charlie Heath,1
8661,Shevonne Durkin,1
8662,Bella Riza,1
8663,Carrie Mullan,1
8664,Llyr Ifans,1
8665,Dorien Thomas,1
8666,Shirley Knight,4
8667,Julie Condra,1
8668,Kevan Ohtsji,1
8669,Debbie Podowski,1
8670,Elina Löwensohn,2
8671,Christian Maelen,1
8672,Luna Lauren Velez,1
8673,Jamie Harrold,1
8674,Jimmy Nail,3
8675,John Pyper-Ferguson,1
8676,Robin Gammell,1
8677,Callie Thorne,1
8678,Ken Cheeseman,1
8679,Howie Long,1
8680,Trace Beaulieu,1
8681,Michael J. Nelson,1
8682,Jim Mallon,1
8683,Kevin Murphy,1
8684,Mark Rylance,4
8685,Patsy Kensit,2
8686,Donna Mitchell,1
8687,Eric Schaeffer,2
8688,Rudolf Martin,1
8689,Francie Swift,1
8690,Tim Loane,2
8691,Ian Beattie,1
8692,Shane Rimmer,1
8693,David Hayter,1
8694,Kathy Christopherson,1
8695,Bruno Patrick,1
8696,Christopher Michael,1
8697,Emira Nusevic,1
8698,Alison Folland,1
8699,Tara Subkoff,1
8700,Wilson Cruz,1
8701,Nathan Forrest Winters,1
8702,Brian McHugh,1
8703,Michael Jerome West,1
8704,Benjamin Mouton,1
8705,Elizabeth Morehead,1
8706,Asha Menina,1
8707,Shiloh Strong,1
8708,Ramy Zada,1
8709,Bingo O'Malley,1
8710,Jeff Howell,1
8711,Darwyn Carson,1
8712,Marvin Elkins,1
8713,Jay Brazeau,4
8714,Tom McBeath,1
8715,George Newbern,2
8716,Cynda Williams,2
8717,Claire Skinner,2
8718,Grant Warnock,1
8719,Pablo Calogero,1
8720,Mario Grillo,1
8721,Ralph Irizarry,1
8722,David Marshall Grant,3
8723,Lilyan Chauvin,1
8724,Gilmer McCormick,1
8725,Toni Nero,1
8726,Robert Brian Wilson,1
8727,Patricia Charbonneau,1
8728,Audra Lindley,3
8729,Andra Akers,2
8730,Mike Lackey,1
8731,Bill Chepil,1
8732,Vic Noto,1
8733,Mark Sferrazza,1
8734,Stephen Geoffreys,2
8735,Cameron Dye,2
8736,Karen M. Waldron,2
8737,Steve Lundquist,1
8738,Neil Diamond,1
8739,Lucie Arnaz,1
8740,Patricia Hodge,2
8741,Avril Elgar,1
8742,Tony Knesich,1
8743,Gregory Cleghorne,1
8744,Buck Henry,2
8745,Cherie Currie,1
8746,Marilyn Kagan,1
8747,Kandice Stroh,1
8748,George Hamilton,5
8749,Kyle Richards,1
8750,Harry Hamlin,2
8751,Wendy Hiller,4
8752,Vernel Bagneris,1
8753,Peter Keleghan,1
8754,Kent Deuters,1
8755,Linda Speciale,1
8756,Alan Deveau,1
8757,Debra Clinger,1
8758,Joel Kenney,1
8759,David Damas,1
8760,Erin Moran,1
8761,Bernard Behrens,2
8762,Patrick Wayne,2
8763,Dana Gillespie,1
8764,Andrew Prine,3
8765,Dawn Wells,1
8766,Jimmy Clem,2
8767,Johnny Whitaker,1
8768,Celeste Holm,1
8769,Jean-Pierre Aumont,2
8770,Raquel Welch,4
8771,David Lochary,1
8772,Mary Vivian Pearce,1
8773,Mink Stole,2
8774,Steven Warner,1
8775,Victor Spinetti,1
8776,Jeannine Riley,1
8777,Albert Paulsen,1
8778,Alberto de Mendoza,1
8779,Silvia Tortosa,1
8780,Taryn Power,1
8781,Margaret Whiting,2
8782,Bruno S.,2
8783,Eva Mattes,3
8784,Clemens Scheitz,2
8785,Wilhelm von Homburg,1
8786,Ruth Gordon,4
8787,Kyle Eastwood,1
8788,Alexa Kenin,1
8789,Edward Mulhare,1
8790,Mark Linn-Baker,1
8791,Robert Logan,2
8792,Pat McCormick,1
8793,Andrea Occhipinti,1
8794,Ana Obregón,1
8795,Ilan Mitchell-Smith,3
8796,Richard Lynch,3
8797,Melissa Prophet,1
8798,Alexander Zale,1
8799,Gary Basaraba,1
8800,Ramey Ellis,1
8801,Alma Beltran,1
8802,Perla Walter,1
8803,Gina Morelli,1
8804,Caroll Spinney,2
8805,Hunter Carson,1
8806,Ross Bagdasarian Jr.,2
8807,Janice Karman,2
8808,Dody Goodman,1
8809,George Burns,7
8810,Charlie Schlatter,2
8811,Anita Morris,1
8812,Douglas Seale,1
8813,Noelle Parker,1
8814,Rosanna DeSoto,2
8815,David Rasche,4
8816,Ellen Greene,3
8817,Corinne Bohrer,1
8818,Tomas Milian,4
8819,Anne De Salvo,1
8820,Maureen O'Hara,1
8821,Bowlegged Lou,1
8822,Sarel Bok,1
8823,Cyndi Lauper,1
8824,Simon Fenton,1
8825,Paula Marshall,2
8826,Ryan Slater,1
8827,Yi Ding,1
8828,Wang Fei,1
8829,Shadia Simmons,3
8830,Erica Luttrell,1
8831,Vincent Kartheiser,4
8832,Laurie Fortier,1
8833,Milo O'Shea,1
8834,John Plumpis,1
8835,Michael Richards,2
8836,Jessica Steen,3
8837,Joey Simmrin,1
8838,Arthur Burghardt,1
8839,Julianne Nicholson,2
8840,Lara Jill Miller,1
8841,Joshua Seth,1
8842,Bob Papenbrook,1
8843,David Lodge,2
8844,Steve Harvey,1
8845,Gary Grubbs,1
8846,Isaac ben Ayala,1
8847,Michael Papajohn,1
8848,Phyllis Alexion,1
8849,Jesse Henecke,1
8850,Owen Patchen Evans,1
8851,Golden Brooks,1
8852,Viveka Davis,1
8853,Angie Milliken,1
8854,Andrew S. Gilbert,1
8855,Chris Ferreira,1
8856,Elizabeth Sun,1
8857,Steve Van Wormer,2
8858,Alice Evans,1
8859,Bernard Cribbins,3
8860,Pilar Padilla,1
8861,Jack McGee,1
8862,Adrian Rawlins,3
8863,Lisa McKinlay,1
8864,Maria de Medeiros,3
8865,Mercedes Ruehl,4
8866,Victor Rivers,1
8867,Douglas Spain,2
8868,Maria Carmen,1
8869,Maryam Karimi,1
8870,Mohamad Dolati,1
8871,Agelem Habibi,1
8872,Esmat Vahedi,1
8873,Nis Bank-Mikkelsen,1
8874,Søren Sætter-Lassen,1
8875,Morten Kerrn Nielsen,1
8876,Sebastian Jessen,2
8877,Lynne Thigpen,1
8878,Ella Jones,1
8879,Cameron Powrie,1
8880,Trudie Styler,1
8881,Jay Lacopo,1
8882,Kristin Bauer van Straten,1
8883,W. Earl Brown,2
8884,Kirk Geiger,1
8885,Sarah Hunley,1
8886,Newell Alexander,1
8887,Andrew Parks,1
8888,Susan McConnell,1
8889,Brian Howe,2
8890,Gene Wolande,1
8891,Julian Rhind-Tutt,1
8892,Nicholas Brendon,2
8893,Kimberley Davies,1
8894,Stefano Dionisi,1
8895,Rahul Khanna,1
8896,Moushumi Chatterjee,1
8897,Dina Pathak,1
8898,David Connolly,1
8899,Joseph Siravo,1
8900,A.D. Miles,1
8901,Bryan Johnson,1
8902,Jerry Lewkowitz,1
8903,Marion O'Dwyer,1
8904,Niall O'Shea,1
8905,Ciaran Owens,2
8906,Vaughan Sheffield,1
8907,Christian Patterson,1
8908,Lisa Perry,1
8909,Peter Donat,3
8910,Trevor Blumas,1
8911,James B. Douglas,1
8912,Nathaniel Arcand,1
8913,Meredith Monroe,1
8914,Ayelet Kaznelson,1
8915,John Hines,1
8916,John Harrington Bland,1
8917,Susan Floyd,1
8918,Ellen McElduff,1
8919,Harley Cross,2
8920,Aimee Graham,1
8921,Jon Bradford,1
8922,Ramsey Krull,1
8923,Patricia Richardson,1
8924,Christine Dunford,1
8925,Tom Wood,1
8926,Amie Carey,1
8927,Joy Kilpatrick,1
8928,Kamel Krifa,1
8929,Brad Thornton,1
8930,Jill Pierce,1
8931,Lou Reed,1
8932,Mel Gorham,1
8933,Shar-Ron Corley,1
8934,Saul Stein,2
8935,Gwen McGee,1
8936,Jane Jensen,1
8937,Will Keenan,1
8938,Valentine Miele,1
8939,William Beckwith,1
8940,Summer Phoenix,1
8941,Chuck Shamata,1
8942,Tom Hollander,2
8943,Dano Cerny,1
8944,Ron Melendez,1
8945,Jim Metzler,3
8946,Nancy Lee Grahn,1
8947,Stefania Sandrelli,1
8948,Diego Wallraff,1
8949,Eduardo Ricard,1
8950,Henry Carbo,1
8951,Bruce Abbott,3
8952,Claude Earl Jones,1
8953,Fabiana Udenio,1
8954,Geneviève Picot,1
8955,Heather Mitchell,1
8956,Anna Katarina,1
8957,Richard Boes,1
8958,Cheryl Costa,1
8959,Michael Luciano,1
8960,Mädchen Amick,2
8961,George Morfogen,1
8962,Sam Sorbo,2
8963,Ray Sharkey,3
8964,Myriam Cyr,1
8965,David Nichols,1
8966,Virginia Vincent,1
8967,James Whitworth,1
8968,Bernard Hill,2
8969,Tom Bartlett,1
8970,Paige Sullivan,1
8971,Steven Boggs,1
8972,Kelley Palmer,1
8973,Dexter Gordon,1
8974,François Cluzet,3
8975,Gabrielle Haker,1
8976,Sandra Reaves-Phillips,1
8977,Marsha A. Hunt,1
8978,Chris Pedersen,1
8979,Bill Coyne,1
8980,Jennifer Clay,1
8981,Timothy O'Brien,1
8982,Orson Welles,1
8983,Lois Nettleton,2
8984,Anne Carlisle,1
8985,Susan Doukas,1
8986,Otto von Wernherr,1
8987,Marisa Berenson,2
8988,Larry Hagman,2
8989,Susan Dey,1
8990,Leigh Taylor-Young,2
8991,Andrew Stevens,6
8992,Eve Arden,2
8993,Joseph Maher,3
8994,David Argue,1
8995,John Ley,1
8996,Angelo D'Angelo,1
8997,David Copperfield,2
8998,Trisha Noble,1
8999,Bernard Fox,1
9000,Zoë Lund,1
9001,Bogey,1
9002,Albert Sinkys,1
9003,Darlene Stuto,1
9004,Claudio Cassinelli,2
9005,Antonio Marsina,1
9006,Glory Annen,1
9007,Chris Milne,1
9008,Joni Flynn,1
9009,Jody Hanson,1
9010,Marjoe Gortner,4
9011,David Hasselhoff,4
9012,Demene Hall,1
9013,William Russ,3
9014,Julie Ritter,1
9015,Linda Bond,1
9016,Valerie Landsburg,1
9017,Terri Nunn,1
9018,Chick Vennera,1
9019,Donna Summer,1
9020,John Amplas,1
9021,Lincoln Maazel,1
9022,Christine Forrest,1
9023,Elyane Nadeau,1
9024,Jennifer Billingsley,1
9025,Roy Jenson,1
9026,Gary Combs,1
9027,Fred Brookfield,1
9028,Terry Gibson,1
9029,Peggy Church,1
9030,Gina Paluzzi,1
9031,Bruce Kimball,1
9032,Barbara Parkins,2
9033,Richard Todd,1
9034,Sylvia Syms,1
9035,John Ireland,1
9036,Sylvia Miles,2
9037,Robbie Lee,2
9038,Joanne Nail,1
9039,Monica Gayle,1
9040,Asher Brauner,1
9041,Susan George,2
9042,Adam Roarke,1
9043,Kenneth Tobey,1
9044,Patsy Garrett,2
9045,Allen Fiuzat,2
9046,Cynthia Smith,1
9047,Peter Breck,1
9048,Yuriy Yakovlev,1
9049,Leonid Kuravlyov,1
9050,Aleksandr Demyanenko,1
9051,Saveliy Kramarov,1
9052,Felicia Farr,1
9053,James Franciscus,3
9054,Philip Ahn,1
9055,David Ladd,2
9056,Jean-Pierre Léaud,2
9057,Françoise Lebrun,1
9058,Isabelle Weingarten,1
9059,Arthur Lowe,1
9060,Timothy Carey,1
9061,Robert Phillips,1
9062,Mikhail Baryshnikov,3
9063,Lisa Kreuzer,1
9064,Gérard Blain,1
9065,Brian Keith,5
9066,Susan Saint James,1
9067,Lisa Jane Persky,1
9068,Karl Malden,4
9069,Shelby Chong,1
9070,Josef Sommer,2
9071,Bert Remsen,2
9072,Mike Genovese,1
9073,Robert Vaughn,2
9074,Jimmy Cliff,3
9075,Marc Price,1
9076,Tony Fields,1
9077,Lisa Orgolini,1
9078,Doug Savant,2
9079,Perry Lopez,3
9080,Raphael Harris,1
9081,Mark Rydell,2
9082,Abe Vigoda,2
9083,George O'Hanlon,1
9084,Mel Blanc,3
9085,Penny Singleton,1
9086,Tiffany,1
9087,Jeff Speakman,1
9088,John Dye,1
9089,Sam Wanamaker,3
9090,Jamie Walters,1
9091,Joseph C. Phillips,1
9092,Leleti Khumalo,1
9093,Miriam Makeba,2
9094,John Kani,2
9095,Phillip Rhee,2
9096,Edan Gross,1
9097,Dwight Schultz,3
9098,Brittany Boyd,1
9099,Marquise Wilson,1
9100,Joe Bays,1
9101,Jill Boyd,1
9102,Harry Belafonte,8
9103,Gail O'Grady,2
9104,Ely Pouget,2
9105,Alison Elliott,1
9106,Andy Comeau,1
9107,Patrick Malahide,2
9108,Dawn McMillan,1
9109,Robert Ri'chard,2
9110,Kellita Smith,1
9111,Nicole Ari Parker,1
9112,Rosa Arredondo,1
9113,Luis Cruz,1
9114,Charles Duckworth,1
9115,The Jonas Brothers,1
9116,Kenny Ortega,1
9117,Clint Eruera,1
9118,Nancy Brunning,1
9119,María Lidón,1
9120,Lana Parrilla,1
9121,Josh Green,1
9122,Oliver Macready,1
9123,Nick Swarts,1
9124,R. Brandon Johnson,1
9125,Samantha Dark,1
9126,Heather Magee,1
9127,Richard Glover,1
9128,Ashley Anne Ayer,1
9129,Kaja Stiglic,1
9130,Lisa Nicole Wilkerson,1
9131,Sibylla Budd,1
9132,Steve Rodgers,1
9133,Harry Van Gorkum,1
9134,Jeffrey Pierce,1
9135,Mike Anscombe,1
9136,Jeff J.J. Authors,1
9137,Patrick Chilvers,1
9138,Ryan Dunn,1
9139,Brandon DiCamillo,1
9140,Jennifer Rivell,1
9141,Larry Sullivan,1
9142,Steve Braun,1
9143,Ray Baker,3
9144,James Handy,1
9145,Andy Gray,1
9146,Finlay MacDonald,1
9147,Sheila Latimer,1
9148,Matthew Pidgeon,1
9149,Aidan Ostrogovich,1
9150,David Roberson,1
9151,Liz May Brice,1
9152,Beanie Sigel,1
9153,Omillio Sparks,1
9154,Memphis Bleek,1
9155,Damon Dash,1
9156,John Shrapnel,2
9157,Ginette Reno,1
9158,Mary Walsh,1
9159,Juan Diego Botto,1
9160,Laura Morante,2
9161,Elvira Mínguez,1
9162,Mark Adair-Rios,1
9163,Cecil 'Shuckey Duckey' Armstrong,1
9164,Bonnie Root,1
9165,Tricia Vessey,1
9166,Kimberly J. Brown,3
9167,Gavin O'Connor,1
9168,Daniel Bernhardt,1
9169,Donald Gibb,2
9170,Peter Jacobson,1
9171,Tom Cayler,1
9172,Steve Sweeney,1
9173,Gerry Conlon,1
9174,Claudio Santamaria,1
9175,John C. Ojwang,1
9176,Marian Seldes,2
9177,James Urbaniak,1
9178,Maria Porter,1
9179,Elena Mandalis,1
9180,Damien Fotiou,1
9181,Alex Papps,1
9182,Anthony J. Robinow,1
9183,Michael McGill,1
9184,Shimon Aviel,1
9185,Chris Stafford,1
9186,Andersen Gabrych,1
9187,Stephanie McVay,1
9188,Alex Hyde-White,3
9189,Rebecca Staab,1
9190,Michael Kopelow,1
9191,Bradford Tatum,1
9192,China Kantner,1
9193,Renee Allman,1
9194,Jay Chandrasekhar,1
9195,William Hootkins,1
9196,Erland Josephson,4
9197,Thanasis Vengos,1
9198,Abraham Alvarez,1
9199,Paul Whitthorne,1
9200,Anders Hove,2
9201,Vincent Guastaferro,1
9202,J.J. Johnston,2
9203,Judith Chapman,1
9204,Nicholas Pryor,1
9205,Elizabeth Cox,1
9206,Dan Hicks,2
9207,David Byrnes,1
9208,Lisa Eichhorn,3
9209,Dean Devlin,1
9210,Sloane Shelton,1
9211,Adrienne Shelly,3
9212,Rebecca Nelson,1
9213,John MacKay,1
9214,Patrick Cassidy,1
9215,John Dossett,1
9216,Olivier Gruner,2
9217,Merle Kennedy,1
9218,Jeremy Cooper,1
9219,Sheila Moore,1
9220,Donald Moffat,3
9221,Peter Horton,2
9222,Monika Schnarre,1
9223,Michael Clark,1
9224,Michel Blanc,2
9225,Tracy Camilla Johns,1
9226,Tommy Redmond Hicks,1
9227,John Canada Terrell,1
9228,Michelle Holmes,1
9229,George Costigan,1
9230,Peter Liapis,1
9231,Michael Des Barres,1
9232,Christopher Cary,2
9233,Graeme Campbell,1
9234,Dan O'Dowd,1
9235,Lara Harris,2
9236,Kelli Maroney,2
9237,Tony O'Dell,1
9238,Russell Todd,1
9239,Karrie Emerson,1
9240,Michael Garfield,1
9241,Kim Terry,1
9242,Philip MacHale,1
9243,Alicia Moro,1
9244,K.C. Martel,1
9245,John Agar,1
9246,Lou Hancock,1
9247,Janelle Brady,1
9248,Gil Brenton,1
9249,Robert Prichard,1
9250,Pat Ryan,1
9251,Larry Poindexter,1
9252,Gary Conway,1
9253,David Edwin Knight,1
9254,Nancy Brilli,1
9255,Coralina Cataldi-Tassoni,1
9256,Bobby Rhodes,1
9257,Mel Tormé,1
9258,Roy Firestone,1
9259,B.J. Ward,1
9260,Arkie Whiteley,1
9261,Freddie Stuart,1
9262,A.J. Clarke,1
9263,Lisa Niemi,1
9264,Christopher Neame,2
9265,Wallace Langham,1
9266,Joanne Woodward,6
9267,Gary Lahti,1
9268,Amy Ingersoll,1
9269,Tamara Dobson,3
9270,Roberts Blossom,4
9271,Krystyna Janda,2
9272,Ildikó Bánsági,1
9273,Rick Hill,1
9274,Barbi Benton,1
9275,Lana Clarkson,1
9276,Karen Carlson,1
9277,Lee Van Cleef,4
9278,Mark Miller,2
9279,Bridgette Andersen,1
9280,Chris Robinson,1
9281,Gilbert Roland,2
9282,Jocelyn Jones,1
9283,Jon Van Ness,1
9284,Robin Sherwood,1
9285,Richard Foronjy,1
9286,Don Billett,1
9287,Jason Miller,2
9288,Ed Flanders,5
9289,Joanne Dru,1
9290,Marc Lawrence,2
9291,Christopher Benjamin,1
9292,James Bolam,1
9293,Mel Ferrer,2
9294,Carolyn Jones,1
9295,Veronica Hamel,2
9296,Glynnis O'Connor,5
9297,Joan Hotchkis,1
9298,Sandy McPeak,1
9299,D'Urville Martin,3
9300,Marcel Bozzuffi,2
9301,Hugh Millais,2
9302,Bo Brundin,1
9303,Herb Edelman,2
9304,Al Lettieri,1
9305,Linda Cristal,1
9306,Lee Purcell,3
9307,Cristina Galbó,2
9308,Ray Lovelock,2
9309,Arthur Kennedy,1
9310,Aldo Massasso,1
9311,Sharon Farrell,2
9312,Andrew Duggan,2
9313,Nigel Davenport,3
9314,Lynne Frederick,2
9315,Alan Gifford,1
9316,David Essex,2
9317,Adam Faith,1
9318,Ines Des Longchamps,1
9319,Zero Mostel,2
9320,Herschel Bernardi,2
9321,Margaux Hemingway,1
9322,Gemma Craven,1
9323,Annette Crosbie,2
9324,Edith Evans,1
9325,Marie-France Pisier,3
9326,Raf Vallone,4
9327,Richard Widmark,6
9328,Stan Shaw,1
9329,James Canning,1
9330,Michael Lembeck,1
9331,Richard Boone,2
9332,Rina Morelli,1
9333,Olivia Hamnett,1
9334,Frederick Parslow,1
9335,Eugene Roche,3
9336,William Bryant,1
9337,Telly Savalas,5
9338,Alec McCowen,4
9339,Gary Friedkin,1
9340,James Wainwright,1
9341,Cleavant Derricks,2
9342,Alejandro Rey,1
9343,Molly McCarthy,1
9344,Martha Gehman,2
9345,Shane Bailey,1
9346,Becky Jo Lynch,1
9347,Soon-Tek Oh,1
9348,Bennett Ohta,1
9349,John Murray,1
9350,Brian Backer,2
9351,Lisa Waltz,1
9352,Peter Elliott,1
9353,George Antoni,1
9354,Joan Jett,1
9355,Wendy Gazelle,2
9356,Betsy Blair,1
9357,Aki Aleong,1
9358,Roland Harrah III,1
9359,Miki Kim,1
9360,Sigrid Thornton,1
9361,Nicholas Eadie,1
9362,Hercules Vilchez,1
9363,Jerry Vichi,1
9364,Paul Dooley,5
9365,Thomas Wilson Brown,1
9366,Joanna Merlin,1
9367,James Bonfanti,1
9368,Sarah Keller,1
9369,Emma Samms,1
9370,Stuart Pankin,3
9371,Holly Marie Combs,1
9372,Glenn Quinn,1
9373,Thalmus Rasulala,3
9374,Tracy Pollan,1
9375,Claudia Cardinale,2
9376,Shabana Azmi,2
9377,Aida Turturro,1
9378,Yoshio Harada,1
9379,Daniel Matmor,1
9380,Jeremy Crutchley,1
9381,Brad Sullivan,1
9382,Ann Dowd,2
9383,Jessica Lundy,1
9384,Bug Hall,3
9385,Alex McKenna,1
9386,Eli Wallach,11
9387,Richard Alan Baker,1
9388,Richie Allan,1
9389,Gloria DeHaven,1
9390,Mili Avital,2
9391,Gheorghe Muresan,1
9392,Dick Martin,1
9393,Jean-Luke Figueroa,1
9394,Christiane Noll,1
9395,Martin Vidnovic,1
9396,Ever Carradine,1
9397,Stephanie Chang,1
9398,Neal MacMillan,1
9399,John Cullum,2
9400,Susan Ward,1
9401,Matthew Settle,2
9402,Steve Irwin,1
9403,Terri Irwin,1
9404,Magda Szubanski,1
9405,Pell James,1
9406,Kevin Jonas,2
9407,Joe Jonas,3
9408,John Taylor,1
9409,Maria Rohm,2
9410,Ashley L. Anderson,1
9411,Camille Anderson,1
9412,Beaumont Bacon,1
9413,Tam Dean Burn,2
9414,Michael Leydon Campbell,1
9415,Nadia Dajani,1
9416,David Gallagher,1
9417,Julia Brendler,1
9418,Victoria Abril,2
9419,François Siener,1
9420,Martin Carney,1
9421,Paul Hickey,1
9422,Camille O'Sullivan,1
9423,Irene Escolar,1
9424,Hector Bordoni,1
9425,Emma Gilmour,1
9426,Susan Jane Tanner,1
9427,Iain Mitchell,1
9428,Charles Aznavour,2
9429,Arsinée Khanjian,2
9430,Maria Grazia Cucinotta,2
9431,Gary Sweet,2
9432,Helen Buday,1
9433,Bogdan Koca,1
9434,Samantha Knigge,1
9435,Julie Davis,1
9436,Carlos Leon,1
9437,Eric Smith,1
9438,Jackie Quinones,1
9439,Sherri Saum,1
9440,Harry Eden,1
9441,Vinnie Hunter,1
9442,Maclean Stewart,1
9443,Russell Smith,1
9444,Sheryl Crow,1
9445,John Pinette,1
9446,Ricky Harris,1
9447,Bernie,1
9448,Louie,1
9449,Mac,1
9450,Russell Ferrier,1
9451,Raffaella Bánsági,1
9452,Dublin James,1
9453,Chris Weitz,1
9454,Beth Colt,1
9455,Tanya Allen,1
9456,Fulvio Cecere,1
9457,Gregory Calpakis,1
9458,Brooke Smith,1
9459,Mark Woodbury,1
9460,Michael Kaycheck,1
9461,Marylouise Burke,1
9462,Phil Caracas,1
9463,Murielle Varhelyi,1
9464,Maria Moulton,1
9465,Tim Devries,1
9466,Martin Arrowsmith,1
9467,Dave Blant,1
9468,Darren Campbell,1
9469,David Mattey,1
9470,Clyde Lewis,1
9471,Heidi Sjursen,1
9472,Paul Kyrmse,1
9473,Jamie McShane,2
9474,Danielle Sapia,1
9475,Tim Jahn,1
9476,C. Alan Ploegsma,1
9477,Dominic Fantazzi,1
9478,Greg S. Campbell,1
9479,Candace Evanofski,1
9480,Donald Holden,1
9481,Damian Jewan Lee,1
9482,Curtis Cotton III,1
9483,Jay Paulson,2
9484,Charlie Finn,1
9485,Natasha Braisewell,1
9486,Henry Brown,1
9487,Brendan Dawson,1
9488,Stephen Lee,1
9489,William Norris,1
9490,Mark Margolis,4
